Square Footage,Price/Sqft,HOA,Acrage,Beds + Baths,Elementary Score,Walking Score,Price
1566,158.68,2220,0.04,6,8,44,248500
2181,157.7,1560,0.05,8,8,24,344000
1915,174.63,1428,0.08,5,3,10,334410
2222,164.09,1080,0.05,7,3,28,364630
4993,120.38,584,0.2,9,6,6,601001
2214,178.41,746,0.04,8,4,53,395000
2207,143.64,1716,0.07,6,3,1,317000
1945,133.68,720,0.04,6,6,5,260000
2217,164.65,1080,0.05,7,3,28,365000
2157,162.26,2220,0.1,6,8,29,350000
1544,172.28,1512,0.05,6,6,6,266000
2350,180,746,0.04,8,4,60,422990
2142,196.5,1692,0.1,7,4,50,420990
1830,216.42,1080,0.06,6,3,28,396055
2521,204.58,400,0.26,7,7,34,515750
5002,159.94,1000,0.23,11,7,18,800000
3227,171.99,1660,0.21,8,7,48,555000
2703,173.88,400,0.35,7,7,42,470000
4411,290.18,400,0.58,10,7,29,1280000
1267,228.81,180,0.25,5,7,46,289900
2918,192,888,0.36,7,7,27,559500
3534,174,400,0.27,8,7,63,615000
3023,179,400,0.35,7,7,53,539000
